,mass,radius,orbital_period,star_teff,star_age
3832,0.595,1.192,2.6843285,5560.0,11.0
3838,1.27,1.08,3.52563254,5150.0,5.0
3851,0.84,1.99,8.600153599999999,6161.0,2.25
3877,1.0,1.09,3.2467292999999997,5800.0,5.8
3896,0.505,0.96,2.4552389999999997,3820.0,0.5
4233,0.6679999999999999,1.304,3.2346996,5647.0,3.8
4290,0.63,0.96,7.340711,6000.0,0.8
4497,0.59,1.416,3.5224991,6213.0,3.84
4528,0.81,1.367,6.246580000000001,4550.0,4.86
4835,1.675,1.53,2.82406,7800.0,0.8
4886,0.7509999999999999,1.1,3.27623,5600.0,3.28
4887,0.667,1.3,4.84532,5550.0,10.29
4888,0.764,1.24,3.24253,5650.0,9.22
4893,0.613,1.2670000000000001,4.0760000000000005,6057.0,6.39
4894,0.52,1.214,3.4678796000000003,5820.0,4.77
4895,0.639,1.023,2.823093,5321.0,3.49
4897,0.593,1.396,3.3704181,5700.0,7.9
4899,0.67,1.536,4.5111204,6478.0,2.17
4907,1.33,1.271,0.882058,4410.0,9.6
4908,0.93,1.09,2.4997,5241.0,12.48
5033,0.68,1.72,3.10129,6075.0,1.1
5034,0.54,1.077,4.01451,4800.0,1.1
5035,1.24,1.11,1.4324772,4588.0,0.7
5039,1.3,1.2,1.2119090000000001,6050.0,2.0
5081,0.736,1.534,1.6453209999999998,6124.0,3.2
5087,0.6679999999999999,1.062,3.506189,5052.0,1.0
5088,1.88,1.7,2.032046,6387.0,1.0
5090,1.19,1.0090000000000001,1.5407309999999999,4309.0,7.5
5160,1.057,1.16,8.3501898,4250.0,8.2
5171,1.18,1.3,2.103195,6260.0,2.59
5264,1.18,1.286,2.0845435,5404.0,12.82
5265,0.99,1.239,5.331751000000001,5948.0,2.64
5266,0.6963,0.9225,8.7099,5597.0,8.3
5268,1.22,1.489,4.231306,6495.0,1.8230000000000002
5282,0.7909999999999999,1.0859999999999999,2.2554477000000004,5880.0,4.7
5302,0.7,1.4,3.208666,5984.0,2.81
5319,0.9740000000000001,1.0,3.7130818,4673.0,6.0
5333,1.6248,1.2187,6.54406,6232.0,3.7
5377,0.92,1.453,3.6240801,6280.0,2.9
5378,0.82,0.96,8.600769999999999,5673.0,8.0
5382,0.65,1.0170000000000001,6.90683,5966.0,2.3
5383,0.94,1.77,2.1225735,5966.0,5.5
5388,0.64,0.995,8.001968,6101.0,3.3
5400,1.0,0.9,2.99432,4780.0,4.9
5408,1.966,1.025,2.13570304,3943.0,9.4
5415,0.93,1.34,5.842641,5707.0,5.3
5429,0.64,1.0,7.18585,5831.0,6.7
5447,0.61,1.76,6.2034,4800.0,5.9
5454,0.7170000000000001,1.224,2.499387,5665.0,5.5
5457,0.975,1.6159999999999999,1.96229325,6280.0,3.7
5458,0.71,1.3630000000000002,4.039708999999999,5721.0,9.5
5462,1.68,1.1740000000000002,2.3505613999999997,5691.0,9.8
5464,0.62,1.466,3.9014971,5760.0,7.0
5471,0.5539999999999999,1.39,3.6525144999999997,5850.0,8.1
5476,1.67,1.091,5.8768918,5706.0,5.4
5482,0.98,1.167,3.246075,5950.0,3.3
5484,0.6890000000000001,0.9940000000000001,2.15484802,3660.0,2.9
5487,1.04,2.0,2.8989727000000003,5772.0,5.6
5488,1.11,1.172,3.2443141,5859.0,4.5
5507,0.73,1.1640000000000001,3.1774835,6060.0,0.8
5526,0.9570000000000001,1.35,4.378081,4974.0,3.88
5527,1.113,1.489,3.25352,6020.0,4.51
5533,0.794,1.183,2.8807197999999996,5640.0,4.1
5548,1.49,1.06,9.955810000000001,4896.0,4.92
5587,0.799,0.879,4.291452,4230.0,6.7
5590,0.54,1.06,2.930289,3586.0,2.9
5608,0.802,0.961,2.0028490000000003,3996.0,7.2
5614,0.5760000000000001,0.9229999999999999,2.2035373,3896.0,7.4
5615,1.463,1.02,1.651144,5666.0,7.3
5628,1.635,1.284,5.7987,6223.0,2.31
5629,0.7979999999999999,1.063,2.576184,3635.0,7.8
5646,0.88,1.771,5.0037775,6460.0,1.99
5697,1.1,1.255,3.2797178,5842.0,6.8
5703,0.667,1.171,3.739494,5300.0,3.4
5719,0.7609999999999999,1.099,3.0300722,5242.82,3.7
5720,1.253,1.189,2.4706133738,5850.0,5.1
5722,0.917,1.706,3.5539267999999997,6200.0,2.9
5723,1.778,1.209,1.4822446000000002,5171.0,7.38
5742,0.5,1.36,3.5857076,6400.0,0.9
5743,0.621,1.33,2.709813,5990.0,0.67
5744,1.49,1.528,0.925542,6110.0,4.0
5750,1.167,1.215,2.6755463,6000.0,4.6
5751,0.91,1.443,3.3190233,6520.0,2.6
5753,0.515,1.238,3.7783976999999997,5400.0,8.6
5754,1.85,1.442,2.310965,6510.0,2.6
5755,0.88,1.1909999999999998,3.0353992,5610.0,10.6
5757,1.7690000000000001,1.339,1.5487743,5940.0,6.4
5758,0.64,1.22,6.6132,6250.0,1.7
5760,0.514,1.44,4.0460435,6404.0,1.17
5761,1.23,1.4,2.49979,5650.0,8.0
5765,0.92,1.327,2.977641,5737.0,6.9
5766,0.6,1.24,3.37265,6050.0,2.1
5770,1.0,0.93,5.748145,5900.0,1.0
5771,1.47,1.9,1.09141937,6360.0,1.7
5777,1.16,1.21,2.1764229999999998,5700.0,6.8
5780,1.9,1.3,1.4013794,5680.0,4.4
5781,1.51,1.38,5.215357,6067.2,3.62
5782,0.6809999999999999,1.27,3.9080284,6100.0,4.3
5788,0.84,1.53,2.052868,6010.0,2.0
5789,0.725,1.234,3.7788730000000004,5900.0,1.9
5791,0.89,0.9,1.7690381000000002,4900.0,0.5
5792,1.11,1.228,3.3969440000000004,6100.0,6.9
5796,0.991,1.36,1.332813,5750.0,0.6
5803,0.871,1.2,3.1104130000000003,5660.0,1.7
5805,0.5760000000000001,0.998,3.951623,5772.0,1.0
5807,0.55,1.38,3.8404010000000004,6000.0,5.0
5808,0.542,1.4280000000000002,3.7520656000000003,6300.0,3.9
5812,1.87,1.202,1.6096883999999998,6472.0,11.4
5814,0.6579999999999999,1.26,3.4655089999999995,5599.0,4.77
5818,0.561,1.304,5.611411799999999,6110.0,3.8
5819,0.855,1.008,3.1186008999999997,5550.0,2.3
5821,1.6,1.0959999999999999,2.34478022,5593.0,4.8
5822,1.084,0.988,3.8186244,5965.0,5.9079999999999995
5825,0.99,1.208,3.0652907000000003,6229.0,1.745
5827,0.508,1.58,3.0717220000000003,5017.0,9.7
5828,1.41,1.94,3.3448285,8640.0,0.43
5833,0.502,1.47,4.1117771,5313.0,14.9
5839,1.99,1.619,2.7240330000000004,7996.0,0.855
5845,1.1740000000000002,1.381,3.1833869999999997,6405.0,0.75
5847,1.2690000000000001,1.2890000000000001,5.167228,6050.0,2.6
5848,1.139,1.41,0.78884,5500.0,9.95
5849,0.9470000000000001,1.514,2.5199447999999998,6116.0,3.0
5854,1.071,1.3,2.3412127000000003,6075.0,1.6
5856,1.028,1.281,2.7566004,5950.0,6.0
5857,0.907,1.213,3.4088300000000005,6150.0,5.0
5863,0.58,1.26,4.31768509,5700.0,6.7
5866,1.8,1.16,3.577471,5800.0,11.0
5869,1.81,1.392,1.8468354,6352.0,2.1
5874,0.889,1.14,2.4238039000000002,5410.0,0.9
5875,1.0070000000000001,1.16,3.1260876,5140.0,1.4
5884,1.4369999999999998,1.138,1.9550958999999999,5400.0,8.1
5887,0.63,1.57,3.6935995000000004,6097.47,6.9
5888,0.61,1.33,4.46563,5900.0,3.0
5889,0.599,1.092,4.617101,5797.0,6.2
5891,0.89,1.37,5.017180000000001,5800.0,3.2
5892,0.863,0.775,7.9195850000000005,4650.0,0.5
5893,1.6369999999999998,1.171,1.6284246,5700.0,3.0
5894,0.514,0.86,4.3050011,5900.0,3.6
5898,1.2209999999999999,1.271,1.5732918,5652.0,7.0
5902,0.95,1.24,5.084298,5692.5,5.7
5904,0.503,1.224,3.3610059999999997,5450.0,11.0
5905,0.59,1.1640000000000001,3.7130203,5763.0,9.5
5907,1.446,1.27,2.2167421000000003,5773.47,5.0
5909,0.826,1.248,2.13775138,5970.0,2.0
5910,1.07,1.27,2.484193,6100.0,3.5
5912,1.7590000000000001,1.21,1.3600288,5500.0,1.0
5915,0.96,1.33,4.9546415999999995,6400.0,2.4
5920,0.6920000000000001,0.9564,8.5234964,5314.0,1.0
5933,1.206,1.0979999999999999,2.1846656,5630.0,2.4
5935,1.32,1.13,2.0727599999999997,5640.0,11.9
5936,0.83,1.1,2.96264,5526.0,10.5
5953,1.12,1.3,1.0187074,5000.0,0.6
5955,0.62,0.973,2.615838,5290.0,2.0
5960,1.6159999999999999,1.317,4.1247300000000005,5700.0,2.1
5961,1.077,1.03,4.1877537,5510.0,8.5
5963,0.726,1.3459999999999999,2.86413296,6000.0,1.18
