,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
369,1.73,0.205,0.205,1.4480000000000002,0.061,0.061,2.6915575,1.5e-06,1.5e-06,6820.0,52.0,52.0,1.5430000000000001,0.051,0.051
370,0.68,0.04,0.04,1.27,0.05,0.05,3.0565113999999998,2.8e-06,2.8e-06,5890.0,67.0,67.0,1.26,0.14,0.14
371,1.36,0.075,0.075,1.288,0.064,0.064,3.1220109000000003,6.5000000000000004e-06,6.5000000000000004e-06,6280.0,49.0,49.0,1.273,0.049,0.115
373,0.8190000000000001,0.03,0.03,1.0090000000000001,0.07200000000000001,0.07200000000000001,2.7535952999999997,9.4e-06,9.4e-06,5131.0,50.0,50.0,0.887,0.027000000000000003,0.027000000000000003
374,1.4869999999999999,0.057999999999999996,0.059000000000000004,1.318,0.091,0.091,1.9616241,3.9e-06,3.9e-06,5956.0,50.0,50.0,1.093,0.043,0.043
375,0.76,0.032,0.032,0.9440000000000001,0.027999999999999997,0.027999999999999997,3.799847,1.4000000000000001e-05,1.4000000000000001e-05,4390.0,50.0,50.0,0.645,0.02,0.02
376,0.5820000000000001,0.055999999999999994,0.055999999999999994,1.182,0.055,0.055,3.5852467000000003,6.4e-06,6.4e-06,5808.0,50.0,50.0,1.013,0.037000000000000005,0.037000000000000005
378,1.85,1.85,0.0,1.413,0.054000000000000006,0.054000000000000006,2.4652950000000002,3.2e-06,3.2e-06,7500.0,250.0,250.0,1.47,0.12,0.12
380,1.54,0.067,0.067,1.123,0.013000000000000001,0.013000000000000001,4.1419771,1.2e-06,1.2e-06,5678.0,16.0,16.0,1.0,0.022000000000000002,0.022000000000000002
381,1.06,0.11,0.11,1.252,0.05,0.05,2.788491,2.5e-05,2.5e-05,5960.0,100.0,100.0,1.163,0.065,0.065
382,0.574,0.038,0.038,1.631,0.024,0.024,4.7947812999999995,2.4e-06,2.4e-06,6212.0,26.0,26.0,1.435,0.012,0.012
383,1.057,0.07,0.07,0.899,0.027000000000000003,0.027000000000000003,1.90231289,7.7e-07,7.7e-07,5587.0,45.0,45.0,1.004,0.033,0.033
384,0.7609999999999999,0.08800000000000001,0.08800000000000001,1.073,0.028999999999999998,0.028999999999999998,2.6453235,3.9e-06,3.9e-06,5629.0,48.0,48.0,1.023,0.02,0.02
385,0.614,0.024,0.024,1.119,0.033,0.033,3.377728,1.3000000000000001e-05,1.3000000000000001e-05,5400.0,39.0,55.0,0.925,0.023,0.023
386,0.58,0.13,0.18,1.703,0.07,0.07,4.007232,1.7e-06,1.7e-06,6457.0,29.0,29.0,1.298,0.021,0.021
387,0.527,0.083,0.083,1.89,0.13,0.13,2.6054552,3.1e-06,3.1e-06,5835.0,51.0,51.0,1.212,0.05,0.05
388,0.7829999999999999,0.057,0.057,1.59,0.1,0.16,2.972086,5.7000000000000005e-06,5.7000000000000005e-06,6002.0,50.0,50.0,1.255,0.0054,0.107
390,0.7240000000000001,0.043,0.043,1.072,0.012,0.012,2.29840551,5.2e-07,5.2e-07,4508.0,43.0,43.0,0.6785,0.0079,0.03
392,1.11,0.04,0.04,1.275,0.05,0.05,3.8529972000000003,1.4e-06,1.4e-06,6570.0,80.0,80.0,1.29,0.06,0.06
394,1.79,0.034,0.034,1.51,0.01,0.01,2.20473825,4.6e-07,4.6e-07,6532.23,95.0,123.4,1.347,0.18100000000000002,0.253
395,1.35,0.03,0.03,1.42,0.05,0.05,3.076318,5e-05,5e-05,6401.79,103.038,103.038,1.285,0.19699999999999998,0.19699999999999998
396,0.67,0.08,0.08,1.4,0.06,0.06,3.922814,2e-06,2e-06,6350.0,150.0,150.0,1.28,0.13,0.13
397,0.526,0.081,0.081,0.9690000000000001,0.045,0.061,3.312846,5.7999999999999995e-06,5.7999999999999995e-06,5880.0,120.0,120.0,1.1,0.054000000000000006,0.054000000000000006
