,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
5256,0.031,0.0098,0.0098,0.348,0.0039299999999999995,0.0039299999999999995,20.772907,2.3e-05,2.3e-05,5609.0,33.0,33.0,1.022,0.076,0.043
5257,0.0576,0.0573,0.0053,0.29824,0.0034799999999999996,0.0034799999999999996,52.563491000000006,7.2e-05,7.2e-05,5609.0,33.0,33.0,1.022,0.076,0.043
5258,0.0519,0.016,0.016,0.3711,0.0116,0.0143,6.36381,0.0009,0.0009,5100.0,144.0,119.0,0.86,0.1,0.11
5259,0.034,0.0085,0.0085,0.2186,0.008,0.008,5.254467,9e-06,9e-06,5958.0,117.0,125.0,1.09,0.44,0.14
5267,0.01545,0.0022,0.0022,0.1597,0.0072299999999999994,0.0072299999999999994,0.9893430000000001,1.4999999999999999e-05,1.4999999999999999e-05,3550.0,69.0,69.0,0.502,0.013999999999999999,0.013999999999999999
5271,0.0434,0.0274,0.0299,0.1838,0.0134,0.017,10.98462,0.0005099999999999999,0.00045999999999999996,6170.0,61.0,61.0,1.21,0.02,0.02
5273,0.01001,0.0022,0.0035,0.13079000000000002,0.004370000000000001,0.00562,4.8026,4e-06,4e-06,3224.0,100.0,100.0,0.18,0.0044,0.0044
5275,0.00966,0.0009,0.0009,0.1267,0.0054,0.0054,0.66813923,3.9e-07,3.9e-07,3434.0,51.0,51.0,0.495,0.019,0.019
5276,0.0459,0.017,0.017,0.2614,0.0143,0.0143,16.7369,5e-05,5e-05,5760.0,164.0,208.0,1.03,0.13,0.16
5277,0.0088,0.003,0.0069,0.1258,0.009000000000000001,0.009000000000000001,1.7666956999999999,5.400000000000001e-06,5.400000000000001e-06,3499.0,70.0,70.0,0.49,0.05,0.05
5280,0.0182,0.0016,0.0016,0.17,0.0143,0.0143,3.1342787999999997,7.8e-06,7.8e-06,3630.0,100.0,100.0,0.54,0.03,0.03
5281,0.1787,0.1787,0.0,0.2891,0.0107,0.0107,2.50031,2e-05,2e-05,3185.0,76.0,76.0,0.255,0.0066,0.0066
5283,0.0579,0.0148,0.0148,0.4595,0.0107,0.0107,24.283385,8.499999999999999e-05,8.499999999999999e-05,5665.0,55.0,55.0,0.9840000000000001,0.06,0.05
5286,0.08426,0.01614,0.01708,0.4505,0.0152,0.0152,3.49151,5.6999999999999996e-05,6.2e-05,3980.0,32.0,32.0,0.6459999999999999,0.023,0.023
5288,0.0374,0.005,0.005,0.2721,0.017,0.017,7.073091000000001,8e-06,8e-06,5656.0,122.561,122.561,1.0,0.13,0.13
5290,0.013000000000000001,0.0047,0.0085,0.15122,0.00758,0.009000000000000001,8.303342,1.3000000000000001e-05,1.3000000000000001e-05,4922.0,94.0,94.0,0.79,0.046,0.046
5291,0.0305,0.006,0.006,0.2114,0.0045,0.0054,21.269084,5.1e-05,5.1e-05,5707.0,102.0,87.0,1.02,0.1,0.15
5292,0.06,0.040999999999999995,0.069,0.124,0.018000000000000002,0.018000000000000002,2.3883900000000002,0.00066,0.00031,3985.0,55.0,55.0,0.58,0.03,0.03
5293,0.0066,0.005,0.0179,0.1891,0.0107,0.0107,4.4929,0.0027,0.0038,3985.0,55.0,55.0,0.58,0.03,0.03
5294,0.0135,0.011000000000000001,0.0195,0.2248,0.0134,0.0134,9.0497,0.0032,0.0049,3985.0,55.0,55.0,0.58,0.03,0.03
5295,0.0538,0.0101,0.0101,0.2489,0.0259,0.0259,37.468489,7.4e-05,8.2e-05,6116.0,122.0,122.0,1.15,0.17,0.17
5296,0.0522,0.0164,0.0164,0.2088,0.0054,0.0071,5.384610400000001,1e-05,1e-05,5700.0,135.0,126.0,1.02,0.13,0.14
5297,0.0217,0.0198,0.0198,0.303,0.018000000000000002,0.018000000000000002,20.705126999999997,5.6000000000000006e-05,5.6000000000000006e-05,5170.0,148.0,95.0,0.88,0.09,0.12
5298,0.0214,0.006,0.006,0.273,0.0196,0.0196,18.849975,6e-06,6e-06,4036.0,100.0,100.0,0.61,0.02,0.02
5300,0.0044,0.003,0.0035,0.125,0.125,0.17,2.799868,2.3e-05,2.3e-05,5724.0,105.0,105.0,1.02,0.14,0.11
5301,0.026369999999999998,0.00415,0.00415,0.24133000000000002,0.0071,0.007670000000000001,6.527282,2e-05,2e-05,6046.0,50.0,50.0,1.17,0.06,0.06
5303,0.00472,0.0013800000000000002,0.00123,0.10278,0.006629,0.006629,1.9145580000000002,1.8e-05,1.8e-05,4316.0,70.0,70.0,0.65,0.028999999999999998,0.028999999999999998
5304,0.015009999999999999,0.00214,0.00173,0.1489,0.00883,0.01017,3.23845,2e-05,2e-05,4316.0,70.0,70.0,0.65,0.028999999999999998,0.028999999999999998
5305,0.009470000000000001,0.0028899999999999998,0.00227,0.22946,0.006959999999999999,0.006690000000000001,6.5577,1.6e-05,1.6e-05,4316.0,70.0,70.0,0.65,0.028999999999999998,0.028999999999999998
5306,0.01214,0.00299,0.00337,0.1969,0.008,0.00785,9.961881,4.2e-05,4.2e-05,4316.0,70.0,70.0,0.65,0.028999999999999998,0.028999999999999998
5307,0.02429,0.0047799999999999995,0.00525,0.20403,0.0098,9.64,15.231914999999999,9.499999999999999e-05,0.00011499999999999999,4316.0,70.0,70.0,0.65,0.028999999999999998,0.028999999999999998
5308,0.0124,0.0051,0.00412,0.256,0.0116,0.0125,20.7095,0.00011,0.00014,4316.0,70.0,70.0,0.65,0.028999999999999998,0.028999999999999998
5309,0.0274,0.0129,0.0129,0.27,0.018000000000000002,0.018000000000000002,8.765528,3.5e-05,3.5e-05,5707.0,123.0,108.0,1.02,0.1,0.1
5310,0.0205,0.006,0.006,0.2462,0.009000000000000001,0.009000000000000001,8.02154,2.8000000000000003e-05,2.8000000000000003e-05,5165.0,108.0,100.0,0.87,0.09,0.12
5311,0.0176,0.0025,0.0025,0.125,0.0062,0.0062,0.4378146,1.4e-06,1.4e-06,5165.0,108.0,100.0,0.87,0.09,0.12
5312,0.013000000000000001,0.0057,0.0057,0.1445,0.303,0.303,7.085738,8.3e-05,8.3e-05,5690.0,125.0,121.0,1.0,0.13,0.13
5313,0.0758,0.0242,0.0223,0.2436,0.0045,0.0045,4.1374386,2.8999999999999998e-06,2.8999999999999998e-06,5083.0,23.0,23.0,0.807,0.006999999999999999,0.02
5314,0.018213999999999998,0.0036200000000000004,0.0036200000000000004,0.1865,0.0054,0.0054,10.64396,1.4000000000000001e-05,1.4000000000000001e-05,3815.0,157.0,157.0,0.54,0.02,0.02
5315,0.0324,0.0079,0.0079,0.2668,0.0071,0.0071,6.293287,2.8000000000000003e-05,2.8000000000000003e-05,4687.0,65.0,65.0,0.7559999999999999,0.042,0.055999999999999994
5316,0.019,0.009000000000000001,0.009000000000000001,0.3827,0.0071,0.0071,12.885779,3.6e-05,3.6e-05,4687.0,65.0,65.0,0.7559999999999999,0.042,0.055999999999999994
